token	modality	description	chapter
DA02	diag	Other salmonella infections	Certain infectious and parasitic diseases
DA04	diag	Other bacterial intestinal infections	Certain infectious and parasitic diseases
DA07	diag	Other protozoal intestinal diseases	Certain infectious and parasitic diseases
DA08	diag	Viral and other specified intestinal infections	Certain infectious and parasitic diseases
DA09	diag	Diarrhoea and gastroenteritis of presumed infectious origin	Certain infectious and parasitic diseases
DA15	diag	Respiratory tuberculosis, bacteriologically and histologically confirmed	Certain infectious and parasitic diseases
DA16	diag	Respiratory tuberculosis, not confirmed bacteriologically or histologically	Certain infectious and parasitic diseases
DA18	diag	Tuberculosis of other organs	Certain infectious and parasitic diseases
DA31	diag	Infection due to other mycobacteria	Certain infectious and parasitic diseases
DA37	diag	Whooping cough	Certain infectious and parasitic diseases
DA38	diag	Scarlet fever	Certain infectious and parasitic diseases
DA39	diag	Meningococcal infection	Certain infectious and parasitic diseases
DA40	diag	Streptococcal septicaemia	Certain infectious and parasitic diseases
DA41	diag	Other septicaemia	Certain infectious and parasitic diseases
DA46	diag	Erysipelas	Certain infectious and parasitic diseases
DA49	diag	Bacterial infection of unspecified site	Certain infectious and parasitic diseases
DA51	diag	Early syphilis	Certain infectious and parasitic diseases
DA54	diag	Gonococcal infection	Certain infectious and parasitic diseases
DA56	diag	Other sexually transmitted chlamydial diseases	Certain infectious and parasitic diseases
DA60	diag	Anogenital herpesviral [herpes simplex] infection	Certain infectious and parasitic diseases
DA63	diag	Other predominantly sexually transmitted diseases, not elsewhere classified	Certain infectious and parasitic diseases
DA68	diag	Relapsing fevers	Certain infectious and parasitic diseases
DA69	diag	Other spirochaetal infections	Certain infectious and parasitic diseases
DA74	diag	Other diseases caused by chlamydiae	Certain infectious and parasitic diseases
DA86	diag	Unspecified viral encephalitis	Certain infectious and parasitic diseases
DA87	diag	Viral meningitis	Certain infectious and parasitic diseases
DA88	diag	Other viral infections of central nervous system, not elsewhere classified	Certain infectious and parasitic diseases
DB00	diag	Herpesviral [herpes simplex] infections	Certain infectious and parasitic diseases
DB01	diag	Varicella [chickenpox]	Certain infectious and parasitic diseases
DB02	diag	Zoster [herpes zoster]	Certain infectious and parasitic diseases
DB07	diag	Viral warts	Certain infectious and parasitic diseases
DB08	diag	Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified	Certain infectious and parasitic diseases
DB09	diag	Unspecified viral infection characterized by skin and mucous membrane lesions	Certain infectious and parasitic diseases
DB15	diag	Acute hepatitis A	Certain infectious and parasitic diseases
DB16	diag	Acute hepatitis B	Certain infectious and parasitic diseases
DB17	diag	Other acute viral hepatitis	Certain infectious and parasitic diseases
DB18	diag	Chronic viral hepatitis	Certain infectious and parasitic diseases
DB19	diag	Unspecified viral hepatitis	Certain infectious and parasitic diseases
DB20	diag	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases	Certain infectious and parasitic diseases
DB23	diag	Human immunodeficiency virus [HIV] disease resulting in other conditions	Certain infectious and parasitic diseases
DB24	diag	Unspecified human immunodeficiency virus [HIV] disease	Certain infectious and parasitic diseases
DB25	diag	Cytomegaloviral disease	Certain infectious and parasitic diseases
DB27	diag	Infectious mononucleosis	Certain infectious and parasitic diseases
DB30	diag	Viral conjunctivitis	Certain infectious and parasitic diseases
DB33	diag	Other viral diseases, not elsewhere classified	Certain infectious and parasitic diseases
DB34	diag	Viral infection of unspecified site	Certain infectious and parasitic diseases
DB35	diag	Dermatophytosis	Certain infectious and parasitic diseases
DB36	diag	Other superficial mycoses	Certain infectious and parasitic diseases
DB37	diag	Candidiasis	Certain infectious and parasitic diseases
DB44	diag	Aspergillosis	Certain infectious and parasitic diseases
DB50	diag	Plasmodium falciparum malaria	Certain infectious and parasitic diseases
DB54	diag	Unspecified malaria	Certain infectious and parasitic diseases
DB58	diag	Toxoplasmosis	Certain infectious and parasitic diseases
DB65	diag	Schistosomiasis [bilharziasis]	Certain infectious and parasitic diseases
DB80	diag	Enterobiasis	Certain infectious and parasitic diseases
DB86	diag	Scabies	Certain infectious and parasitic diseases
DB94	diag	Sequelae of other and unspecified infectious and parasitic diseases	Certain infectious and parasitic diseases
DB95	diag	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	Certain infectious and parasitic diseases
DB96	diag	Other bacterial agents as the cause of diseases classified to other chapters	Certain infectious and parasitic diseases
DB97	diag	Viral agents as the cause of diseases classified to other chapters	Certain infectious and parasitic diseases
DB98	diag	Other specified infectious agents as the cause of diseases classified to other chapters	Certain infectious and parasitic diseases
DB99	diag	Other and unspecified infectious diseases	Certain infectious and parasitic diseases
DC11	diag	Malignant neoplasm of nasopharynx	Neoplasms
DC16	diag	Malignant neoplasm of stomach	Neoplasms
DC18	diag	Malignant neoplasm of colon	Neoplasms
DC20	diag	Malignant neoplasm of rectum	Neoplasms
DC22	diag	Malignant neoplasm of liver and intrahepatic bile ducts	Neoplasms
DC34	diag	Malignant neoplasm of bronchus and lung	Neoplasms
