chapter_code_raw	ydelse_code_raw fullcode_raw	fullcode_grouped
01	0104    010104	010104
01	0105    010105	019105
01	0108    010108	019108
01	0109    010109	010109
01	0110    010110	019110
01	0111    010111	013240
01	0112    010112	010112
01	0114    010114	010114
01	0116    010116	013240
01	0120    010120	010120
01	0130    010130	019130
01	0161    010161	010161
01	0201    010201	019201
01	0205    010205	019205
01	0210    010210	019110
01	0220    010220	019110
01	0230    010230	010230
01	0235    010235	019105
01	0237    010237	010237
01	0301    010301	010301
01	1015    011015	011016
01	1016    011016	011016
01	1017    011017	011017
01	1101    011101	019101
01	1401    011401	019401
01	2146    012146	012146
01	2147    012147	012147
01	2148    012148	012148
01	2161    012161	019161
01	2261    012261	019261
01	2264    012264	019264
01	2265    012265	019266
01	2266    012266	019266
01	2602    012602	012602
01	2603    012603	012603
01	2611    012611	012611
01	2620    012620	019620
01	2621    012621	012621
01	2622    012622	019622
01	2623    012623	019623
01	2624    012624	019624
01	2625    012625	012625
01	2626    012626	019626
01	2631    012631	012632
01	2632    012632	012632
01	2633    012633	012633
01	2634    012634	012634
01	2635    012635	019635
01	2636    012636	012636
01	2637    012637	019637
01	2638    012638	019638
01	2639    012639	019639
01	2640    012640	019640
01	2641    012641	019641
01	3010    013010	013010
01	3020    013020	016401
01	3021    013021	019021
01	3022    013022	019022
01	3023    013023	019023
01	3024    013024	019024
01	3025    013025	019025
01	3110    013110	013240
01	3120    013120	013240
01	3130    013130	013240
01	3140    013140	013240
01	3150    013150	013240
01	3151    013151	013240
01	3210    013210	013240
01	3220    013220	013240
01	3230    013230	013240
01	3240    013240	013240
01	5000    015000	019100
01	5001    015001	015005
01	5002    015002	015002
01	5003    015003	015003
01	5004    015004	015004
01	5005    015005	015005
01	5010    015010	015010
01	5070    015070	018704
01	5080    015080	015080
01	5081    015081	015081
01	5082    015082	015082
01	5083    015083	015083
01	5084    015084	015084
01	5101    015101	015101
01	5102    015102	015102
01	5103    015103	015103
01	5104    015104	015104
01	5105    015105	015105
01	5106    015106	015106
01	5107    015107	015107
01	5310    015310	015310
01	5901    015901	015901
01	5902    015902	015902
01	6400    016400	016400
01	6401    016401	016401
